Graph Name,Graph Size,graph_seed,sampler_rng_seed,num_shots,accepted_samples,acceptance_rate%,mean_pairs_theory,subgraph_size_distribution,code_version
Random_n25_28,25,2992,2992,500,91,18.2,2.3106,"4:2, 5:24, 6:36, 7:6, 8:7, 9:7, 10:6, 11:2, 12:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_41,20,4242,4242,500,92,18.4,2.3855,"4:1, 5:27, 6:41, 7:8, 8:9, 9:3, 10:2, 11:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_42,20,4342,4342,500,76,15.2,2.5353,"4:3, 5:13, 6:28, 7:8, 8:16, 9:3, 10:4, 12:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_43,20,4442,4442,500,76,15.2,2.3619,"4:3, 5:12, 6:33, 7:7, 8:12, 9:5, 10:2, 11:2",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_44,20,4542,4542,500,82,16.4,2.4232,"4:3, 5:15, 6:36, 7:11, 8:9, 9:3, 10:4, 11:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n25_29,25,3092,3092,500,108,21.6,2.5454,"4:1, 5:26, 6:39, 7:9, 8:20, 9:6, 10:3, 11:4",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n25_30,25,3192,3192,500,122,24.4,2.5938,"4:1, 5:21, 6:45, 7:20, 8:21, 9:5, 10:5, 11:3, 12:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n25_31,25,3292,3292,500,94,18.8,2.335,"5:18, 6:41, 7:8, 8:18, 9:4, 10:2, 11:2, 12:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n25_32,25,3392,3392,500,121,24.2,2.4479,"4:2, 5:24, 6:51, 7:19, 8:16, 9:5, 10:3, 12:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n25_21,25,2292,2292,500,118,23.6,2.5539,"4:4, 5:22, 6:51, 7:16, 8:16, 9:4, 10:1, 11:3, 12:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n25_22,25,2392,2392,500,93,18.6,2.4405,"4:3, 5:19, 6:36, 7:10, 8:12, 9:5, 10:3, 11:3, 12:1, 15:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n25_23,25,2492,2492,500,94,18.8,2.5032,"4:1, 5:16, 6:42, 7:8, 8:8, 9:10, 10:6, 11:2, 12:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n25_24,25,2592,2592,500,98,19.6,2.3707,"3:1, 4:4, 5:12, 6:46, 7:11, 8:14, 9:3, 10:5, 11:1, 12:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n25_5,25,692,692,500,108,21.6,2.5641,"4:3, 5:19, 6:40, 7:14, 8:15, 9:8, 10:4, 11:1, 12:3, 14:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n25_6,25,792,792,500,112,22.4,2.5611,"4:3, 5:18, 6:46, 7:11, 8:16, 9:9, 10:5, 11:3, 12:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n25_7,25,892,892,500,109,21.8,2.6067,"5:18, 6:47, 7:15, 8:17, 9:5, 10:4, 11:2, 14:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n25_8,25,992,992,500,121,24.2,2.4749,"5:27, 6:45, 7:15, 8:16, 9:6, 10:9, 11:1, 12:1, 13:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n25_41,25,4292,4292,500,102,20.4,2.3315,"4:4, 5:20, 6:35, 7:8, 8:16, 9:6, 10:9, 11:4",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n25_42,25,4392,4392,500,116,23.2,2.4764,"4:1, 5:28, 6:42, 7:18, 8:13, 9:4, 10:7, 11:3",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n25_43,25,4492,4492,500,94,18.8,2.3922,"5:18, 6:37, 7:20, 8:7, 9:3, 10:5, 11:4",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n25_44,25,4592,4592,500,102,20.4,2.5064,"4:3, 5:15, 6:42, 7:12, 8:15, 9:6, 10:1, 11:4, 12:4",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
